,ID,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms,Reached.on.Time_Y.N,Log_Discount_offered,Warehouse_block_A,Warehouse_block_B,Warehouse_block_C,Warehouse_block_D,Warehouse_block_F,Mode_of_Shipment_Flight,Mode_of_Shipment_Road,Mode_of_Shipment_Ship,Product_importance_high,Product_importance_low,Product_importance_medium,Cost_of_the_Product_std,Weight_in_gms_std
66,67,D,Ship,3,2,109,3,medium,0,15,1710,1,2.70805020110221,0,0,0,1,0,0,0,1,0,0,1,-2.1000169234726047,-1.177210158101031
67,68,F,Ship,3,3,158,3,low,0,6,1878,1,1.791759469228055,0,0,0,0,1,0,0,1,0,1,0,-1.0824375659914773,-1.0745063873428427
68,69,A,Ship,4,2,231,4,medium,0,6,2512,1,1.791759469228055,1,0,0,0,0,0,0,1,0,0,1,0.43354800739877375,-0.6869219191244413
69,70,B,Ship,3,5,206,3,medium,1,39,2929,1,3.6635616461296463,0,1,0,0,0,0,0,1,0,0,1,-0.08562513417323009,-0.43199648813536673
70,71,C,Ship,5,1,187,4,high,1,14,3849,1,2.6390573296152584,0,0,1,0,0,0,0,1,1,0,0,-0.48019672176795297,0.13042892315947419
71,72,F,Ship,5,5,230,2,low,0,2,2229,1,0.6931471805599453,0,0,0,0,1,0,0,1,0,1,0,0.41278108173589356,-0.8599288662944848
72,73,D,Ship,5,5,232,3,medium,0,33,2998,1,3.4965075614664802,0,0,0,1,0,0,0,1,0,0,1,0.4543149330616539,-0.38981458228825366
73,74,F,Ship,4,5,215,3,medium,0,21,3984,1,3.044522437723423,0,0,0,0,1,0,0,1,0,0,1,0.10127719679269129,0.2129587389473041
75,76,B,Ship,4,1,266,3,low,0,23,3775,1,3.1354942159291497,0,1,0,0,0,0,0,1,0,1,0,1.160390405599579,0.08519035746836741
76,77,C,Ship,2,3,158,2,medium,0,36,1788,1,3.58351893845611,0,0,1,0,0,0,0,1,0,0,1,-1.0824375659914773,-1.1295262645347293
77,78,F,Ship,3,3,113,3,low,0,43,1518,1,3.7612001156935624,0,0,0,0,1,0,0,1,0,1,0,-2.0169492208210844,-1.294585896110389
78,79,D,Ship,3,4,223,3,low,1,18,3959,1,2.8903717578961645,0,0,0,1,0,0,0,1,0,1,0,0.2674126020957325,0.1976754397273356
79,80,F,Ship,3,5,257,2,medium,0,56,3711,1,4.02535169073515,0,0,0,0,1,0,0,1,0,0,1,0.9734880746336577,0.04606511146524805
80,81,A,Ship,3,4,180,2,medium,0,49,1942,1,3.8918202981106265,1,0,0,0,0,0,0,1,0,0,1,-0.6255652014081141,-1.0353811413397231
81,82,B,Ship,2,5,132,3,low,1,18,1759,1,2.8903717578961645,0,1,0,0,0,0,0,1,0,1,0,-1.6223776332263613,-1.1472548916298926
82,83,C,Ship,4,4,217,3,high,0,26,2875,1,3.258096538021482,0,0,1,0,0,0,0,1,1,0,0,0.14281104811845158,-0.4650084144504987
83,84,F,Ship,5,5,162,3,high,0,31,1364,1,3.4339872044851463,0,0,0,0,1,0,0,1,1,0,0,-0.9993698633399568,-1.388731019305395
84,85,D,Ship,4,5,197,2,medium,0,40,2710,1,3.6888794541139363,0,0,0,1,0,0,0,1,0,0,1,-0.2725274651391515,-0.5658781893022908
85,86,F,Ship,3,4,197,3,medium,1,13,2148,1,2.5649493574615367,0,0,0,0,1,0,0,1,0,0,1,-0.2725274651391515,-0.9094467557671827
86,87,A,Ship,4,1,185,2,low,1,44,2910,1,3.784189633918261,1,0,0,0,0,0,0,1,0,1,0,-0.5217305730937133,-0.44361179554254276
87,88,B,Ship,6,2,278,3,medium,0,3,2974,1,1.0986122886681098,0,1,0,0,0,0,0,1,0,0,1,1.4095935135541409,-0.4044865495394234
88,89,C,Ship,3,3,229,3,low,1,49,2339,1,3.8918202981106265,0,0,1,0,0,0,0,1,0,1,0,0.39201415607301343,-0.7926823497266234
89,90,F,Ship,4,1,186,4,medium,0,57,3880,1,4.04305126783455,0,0,0,0,1,0,0,1,0,0,1,-0.5009636474308331,0.14938021419223513
91,92,F,Ship,5,5,286,3,low,0,18,3163,1,2.8903717578961645,0,0,0,0,1,0,0,1,0,1,0,1.5757289188571821,-0.28894480743646156
92,93,A,Ship,4,4,175,2,medium,0,7,1188,1,1.9459101490553132,1,0,0,0,0,0,0,1,0,0,1,-0.7293998297225148,-1.4963254458139732
93,94,B,Ship,3,3,219,3,medium,0,17,3387,1,2.833213344056216,0,1,0,0,0,0,0,1,0,0,1,0.1843448994442119,-0.15200644642554376
94,95,C,Ship,4,1,213,4,high,0,35,2343,1,3.5553480614894135,0,0,1,0,0,0,0,1,1,0,0,0.059743345466930976,-0.7902370218514284
95,96,F,Ship,2,3,235,3,low,1,57,2034,1,4.04305126783455,0,0,0,0,1,0,0,1,0,1,0,0.5166157100502944,-0.9791386002102391
96,97,D,Ship,3,3,149,2,medium,1,18,1225,1,2.8903717578961645,0,0,0,1,0,0,0,1,0,0,1,-1.2693398969573988,-1.4737061629684198
97,98,F,Ship,4,1,271,2,medium,0,8,2401,1,2.0794415416798357,0,0,0,0,1,0,0,1,0,0,1,1.2642250339139798,-0.7547797676611016
98,99,A,Ship,3,5,144,4,medium,1,5,1104,1,1.6094379124341003,1,0,0,0,0,0,0,1,0,0,1,-1.3731745252717995,-1.5476773311930674
99,100,B,Ship,4,2,145,2,medium,1,21,1617,1,3.044522437723423,0,1,0,0,0,0,0,1,0,0,1,-1.3524075996089193,-1.2340640311993138
100,101,C,Ship,5,3,143,2,medium,1,59,1837,1,4.07753744390572,0,0,1,0,0,0,0,1,0,0,1,-1.3939414509346797,-1.0995709980635908
101,102,F,Ship,5,5,227,4,low,1,53,2624,1,3.970291913552122,0,0,0,0,1,0,0,1,0,1,0,0.3504803047472531,-0.6184527386189824
102,103,D,Ship,2,1,213,3,low,1,29,2732,1,3.367295829986474,0,0,0,1,0,0,0,1,0,1,0,0.059743345466930976,-0.5524288859887185
103,104,F,Ship,5,1,144,4,low,1,37,1658,1,3.6109179126442243,0,0,0,0,1,0,0,1,0,1,0,-1.3731745252717995,-1.2089994204785655
104,105,A,Ship,3,3,218,3,low,1,3,2255,1,1.0986122886681098,1,0,0,0,0,0,0,1,0,1,0,0.16357797378133174,-0.8440342351057175
105,106,B,Ship,4,2,144,3,medium,1,59,1588,1,4.07753744390572,0,1,0,0,0,0,0,1,0,0,1,-1.3731745252717995,-1.2517926582944772
106,107,C,Ship,3,1,238,3,low,1,17,2624,1,2.833213344056216,0,0,1,0,0,0,0,1,0,1,0,0.5789164870389348,-0.6184527386189824
107,108,F,Ship,4,5,216,3,high,1,26,2053,1,3.258096538021482,0,0,0,0,1,0,0,1,1,0,0,0.12204412245557143,-0.967523292803063
108,109,D,Ship,4,5,238,3,high,0,55,3257,1,4.007333185232471,0,0,0,1,0,0,0,1,1,0,0,0.5789164870389348,-0.23147960236937995
109,110,F,Ship,4,1,141,3,medium,1,47,1250,1,3.8501476017100584,0,0,0,0,1,0,0,1,0,0,1,-1.43547530226044,-1.4584228637484513
110,111,A,Road,3,1,158,2,low,1,2,1284,1,0.6931471805599453,1,0,0,0,0,0,1,0,0,1,0,-1.0824375659914773,-1.4376375768092942
111,112,B,Road,4,2,239,3,low,0,65,3679,1,4.174387269895637,0,1,0,0,0,0,1,0,0,1,0,0.5996834127018149,0.026502488463688363
112,113,C,Road,4,3,175,2,low,1,25,1816,1,3.2188758248682006,0,0,1,0,0,0,1,0,0,1,0,-0.7293998297225148,-1.1124089694083645
113,114,F,Road,3,2,263,3,low,1,41,2817,1,3.713572066704308,0,0,0,0,1,0,1,0,0,1,0,1.0980896286109385,-0.5004656686408256
114,115,D,Road,3,5,168,2,high,1,50,1616,1,3.912023005428146,0,0,0,1,0,0,1,0,1,0,0,-0.8747683093626759,-1.2346753631681124
115,116,F,Road,3,4,176,3,high,1,36,1779,1,3.58351893845611,0,0,0,0,1,0,1,0,1,0,0,-0.7086329040596346,-1.135028252253918
116,117,A,Road,4,1,150,4,high,1,60,1024,1,4.0943445622221,1,0,0,0,0,0,1,0,1,0,0,-1.2485729712945186,-1.5965838886969665
117,118,B,Road,4,3,265,2,medium,0,31,2326,1,3.4339872044851463,0,1,0,0,0,0,1,0,0,0,1,1.1396234799366989,-0.800629665321007
118,119,C,Road,2,5,263,3,low,0,5,2947,1,1.6094379124341003,0,0,1,0,0,0,1,0,0,1,0,1.0980896286109385,-0.4209925126969894
119,120,F,Road,5,1,145,3,low,1,20,1387,1,2.995732273553991,0,0,0,0,1,0,1,0,0,1,0,-1.3524075996089193,-1.3746703840230239
120,121,D,Road,4,2,183,3,low,0,33,2741,1,3.4965075614664802,0,0,0,1,0,0,1,0,0,1,0,-0.5632644244194736,-0.5469268982695299
121,122,F,Road,3,3,205,3,medium,0,19,2167,1,2.9444389791664403,0,0,0,0,1,0,1,0,0,0,1,-0.10639205983611025,-0.8978314483600067
122,123,A,Road,4,2,160,3,low,1,64,1714,1,4.1588830833596715,1,0,0,0,0,0,1,0,0,1,0,-1.0409037146657172,-1.174764830225836
123,124,B,Road,3,3,252,2,medium,0,48,2102,1,3.871201010907891,0,1,0,0,0,0,1,0,0,0,1,0.8696534463192569,-0.9375680263319248
124,125,C,Road,5,5,222,3,low,1,10,2280,1,2.302585092994046,0,0,1,0,0,0,1,0,0,1,0,0.24664567643285235,-0.8287509358857491
125,126,F,Road,3,3,203,2,low,1,25,3607,1,3.2188758248682006,0,0,0,0,1,0,1,0,0,1,0,-0.14792591116187054,-0.017513413289820926
126,127,D,Road,4,5,220,3,medium,1,40,3516,1,3.6888794541139363,0,0,0,1,0,0,1,0,0,0,1,0.20511182510709206,-0.07314462245050628
127,128,F,Road,3,3,147,4,low,0,60,1722,1,4.0943445622221,0,0,0,0,1,0,1,0,0,1,0,-1.3108737482831592,-1.169874174475446
128,129,A,Road,4,4,200,4,medium,1,16,2060,1,2.772588722239781,1,0,0,0,0,0,1,0,0,0,1,-0.21022668815051102,-0.9632439690214719
129,130,B,Road,4,5,224,4,medium,1,21,2026,1,3.044522437723423,0,1,0,0,0,0,1,0,0,0,1,0.28817952775861266,-0.9840292559606291
130,131,C,Road,3,5,179,2,low,0,17,1364,1,2.833213344056216,0,0,1,0,0,0,1,0,0,1,0,-0.6463321270709942,-1.388731019305395
131,132,F,Road,3,4,144,3,low,1,50,1865,1,3.912023005428146,0,0,0,0,1,0,1,0,0,1,0,-1.3731745252717995,-1.082453702937226
132,133,D,Flight,5,2,247,3,low,1,17,3889,1,2.833213344056216,0,0,0,1,0,1,0,0,0,1,0,0.7658188180048562,0.1548822019114238
134,135,A,Flight,3,3,168,2,medium,0,1,1829,1,0.0,1,0,0,0,0,1,0,0,0,0,1,-0.8747683093626759,-1.1044616538139809
135,136,B,Flight,3,5,157,3,medium,0,4,1889,1,1.3862943611198906,0,1,0,0,0,1,0,0,0,0,1,-1.1032044916543575,-1.0677817356860564
136,137,C,Flight,3,3,189,4,medium,0,51,2208,1,3.9318256327243257,0,0,1,0,0,1,0,0,0,0,1,-0.4386628704421927,-0.8727668376392583
137,138,F,Flight,3,5,162,2,medium,1,7,1739,1,1.9459101490553132,0,0,0,0,1,1,0,0,0,0,1,-0.9993698633399568,-1.1594815310058675
138,139,D,Flight,4,1,207,5,low,1,48,2399,1,3.871201010907891,0,0,0,1,0,1,0,0,0,1,0,-0.06485820851034994,-0.756002431598699
139,140,F,Flight,5,1,237,2,low,0,10,3860,1,2.302585092994046,0,0,0,0,1,1,0,0,0,1,0,0.5581495613760546,0.1371535748162603
140,141,A,Flight,4,4,264,3,high,1,59,2020,1,4.07753744390572,1,0,0,0,0,1,0,0,1,0,0,1.1188565542738187,-0.9876972477734215
141,142,B,Flight,5,4,149,3,low,1,51,1645,1,3.9318256327243257,0,1,0,0,0,1,0,0,0,1,0,-1.2693398969573988,-1.2169467360729491
142,143,C,Flight,5,5,162,3,low,1,41,1462,1,3.713572066704308,0,0,1,0,0,1,0,0,0,1,0,-0.9993698633399568,-1.3288204863631186
143,144,F,Flight,2,1,205,4,medium,0,63,2156,1,4.143134726391533,0,0,0,0,1,1,0,0,0,0,1,-0.10639205983611025,-0.9045561000167929
144,145,D,Flight,2,1,158,3,medium,0,51,1540,1,3.9318256327243257,0,0,0,1,0,1,0,0,0,0,1,-1.0824375659914773,-1.2811365927968168
145,146,F,Flight,2,2,248,2,low,1,46,3707,1,3.828641396489095,0,0,0,0,1,1,0,0,0,1,0,0.7865857436677364,0.043619783590053085
146,147,A,Flight,3,5,191,3,low,1,23,3750,1,3.1354942159291497,1,0,0,0,0,1,0,0,0,1,0,-0.3971290191164324,0.0699070582483989
147,148,B,Flight,4,3,146,4,medium,0,24,1844,1,3.1780538303479458,0,1,0,0,0,1,0,0,0,0,1,-1.3316406739460394,-1.0952916742819998
148,149,C,Flight,3,3,135,3,low,1,56,1490,1,4.02535169073515,0,0,1,0,0,1,0,0,0,1,0,-1.560076856237721,-1.3117031912367538
149,150,F,Flight,5,1,149,3,low,1,40,1062,1,3.6888794541139363,0,0,0,0,1,1,0,0,0,1,0,-1.2693398969573988,-1.5733532738826146
150,151,D,Flight,4,4,220,2,medium,0,7,2551,1,1.9459101490553132,0,0,0,1,0,1,0,0,0,0,1,0.20511182510709206,-0.6630799723412905
151,152,F,Flight,5,3,98,5,medium,1,44,1269,1,3.784189633918261,0,0,0,0,1,1,0,0,0,0,1,-2.3284531057642868,-1.4468075563412752
152,153,A,Flight,3,4,97,4,low,1,32,1238,1,3.4657359027997265,1,0,0,0,0,1,0,0,0,1,0,-2.349220031427167,-1.4657588473740362
153,154,B,Flight,3,3,183,2,low,1,53,3932,1,3.970291913552122,0,1,0,0,0,1,0,0,0,1,0,-0.5632644244194736,0.18116947656976962
154,155,C,Ship,3,3,162,3,medium,0,8,1869,1,2.0794415416798357,0,0,1,0,0,0,0,1,0,0,1,-0.9993698633399568,-1.0800083750620313
155,156,F,Ship,5,1,114,4,low,0,47,1443,1,3.8501476017100584,0,0,0,0,1,0,0,1,0,1,0,-1.9961822951582042,-1.3404357937702944
156,157,D,Ship,6,3,275,5,low,1,41,2491,1,3.713572066704308,0,0,0,1,0,0,0,1,0,1,0,1.3472927365655005,-0.6997598904692149
157,158,F,Ship,3,2,203,2,medium,0,39,3845,1,3.6635616461296463,0,0,0,0,1,0,0,1,0,0,1,-0.14792591116187054,0.12798359528427922
158,159,A,Ship,5,5,205,2,high,1,65,3671,1,4.174387269895637,1,0,0,0,0,0,0,1,1,0,0,-0.10639205983611025,0.021611832713298442
159,160,B,Ship,3,3,149,3,low,0,63,1946,1,4.143134726391533,0,1,0,0,0,0,0,1,0,1,0,-1.2693398969573988,-1.0329358134645283
160,161,C,Ship,2,2,112,4,medium,1,56,1138,1,4.02535169073515,0,0,1,0,0,0,0,1,0,0,1,-2.0377161464839646,-1.5268920442539102
161,162,F,Ship,3,1,207,3,medium,0,56,3482,1,4.02535169073515,0,0,0,0,1,0,0,1,0,0,1,-0.06485820851034994,-0.09392990938966343
162,163,D,Ship,4,1,261,4,low,0,58,3427,1,4.060443010546419,0,0,0,1,0,0,0,1,0,1,0,1.0565557772851784,-0.12755316767359415
163,164,F,Ship,5,2,274,3,medium,1,6,3375,1,1.791759469228055,0,0,0,0,1,0,0,1,0,0,1,1.3265258109026203,-0.15934243005112864
164,165,A,Ship,3,5,141,2,low,1,52,1692,1,3.9512437185814275,1,0,0,0,0,0,0,1,0,1,0,-1.43547530226044,-1.1882141335394083
165,166,B,Ship,3,3,166,4,medium,0,17,1498,1,2.833213344056216,0,1,0,0,0,0,0,1,0,0,1,-0.9163021606884362,-1.3068125354863638
166,167,C,Ship,5,2,141,3,high,0,34,1020,1,3.5263605246161616,0,0,1,0,0,0,0,1,1,0,0,-1.43547530226044,-1.5990292165721616
167,168,F,Ship,4,5,152,3,low,1,43,1709,1,3.7612001156935624,0,0,0,0,1,0,0,1,0,1,0,-1.2070391199687582,-1.1778214900698296
168,169,D,Ship,4,2,250,3,low,0,53,2478,1,3.970291913552122,0,0,0,1,0,0,0,1,0,1,0,0.8281195949934966,-0.7077072060635985
169,170,F,Ship,4,3,161,3,medium,0,28,1809,1,3.332204510175204,0,0,0,0,1,0,0,1,0,0,1,-1.020136789002837,-1.1166882931899555
170,171,A,Ship,4,3,185,3,medium,0,10,2263,1,2.302585092994046,1,0,0,0,0,0,0,1,0,0,1,-0.5217305730937133,-0.8391435793553277
171,172,B,Ship,4,4,176,4,high,0,52,1096,1,3.9512437185814275,0,1,0,0,0,0,0,1,1,0,0,-0.7086329040596346,-1.5525679869434574
172,173,C,Ship,3,4,148,3,low,1,56,1550,1,4.02535169073515,0,0,1,0,0,0,0,1,0,1,0,-1.290106822620279,-1.2750232731088293
173,174,F,Ship,3,2,270,3,low,0,63,2751,1,4.143134726391533,0,0,0,0,1,0,0,1,0,1,0,1.2434581082510996,-0.5408135785815424
174,175,D,Ship,3,3,242,3,low,0,51,3935,1,3.9318256327243257,0,0,0,1,0,0,0,1,0,1,0,0.6619841896904554,0.18300347247616583
